system:index,classification,.geo
1_1_0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.486023623310704,6.333493104268547]}"
1_1_1,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.150613223020931,5.912625950532844]}"
1_1_2,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.5179776150602615,5.9700136812069475]}"
1_1_3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.263236767527613,5.199153757559359]}"
1_1_4,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.645296208170221,5.454928896155275]}"
1_1_5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.928727213341485,7.326165218213215]}"
1_1_6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.307391743791335,6.626033638451298]}"
1_1_7,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.421980581561701,6.406924234610674]}"
1_1_8,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.931798639136876,6.879935119450888]}"
1_1_9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.899416149962462,4.835424020850873]}"
1_1_10,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.023792554533961,8.015483081271528]}"
1_1_11,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.782289299499392,6.571794381203721]}"
1_1_12,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.010609819652783,6.6672867186173885]}"
1_1_13,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.8082780996179526,6.7484493273749795]}"
1_1_14,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.880383597401994,5.882369578905743]}"
1_1_15,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.369688198704101,6.078508904747204]}"
1_1_16,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.212402498053642,7.11850734353858]}"
1_1_17,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.101315234266832,6.096459777041541]}"
1_1_18,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.0345125849264765,5.975520956893544]}"
1_1_19,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.761783381677943,5.128146263624242]}"
1_1_20,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.648651022084655,5.292217108446647]}"
1_1_21,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.768986055438199,7.017281522058281]}"
1_1_22,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.275737750634789,6.286610064561046]}"
1_1_23,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.662282136243245,6.1551894071696935]}"
1_1_24,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.134220221044706,6.66573473650334]}"
1_1_25,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.604165576023968,5.97974787811221]}"
